Category,Count,ATC,ATC_A,ATC_B,ATC_C,ATC_D,ATC_G,ATC_H,ATC_J,ATC_L,ATC_M,ATC_P,ATC_R,ATC_S,ATC_V,statin,ezetimibe,pcsk9,fibrate,bas,niacin,n3fa,glm,insulin,arb,anticoag,diuretic,ccb,bb,antiplatelet,acei,thr,anti_ht
5asa - mesalazine,10,A07EC02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fu - fluorouracil,11,L01BC02,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
6mp - mercaptopurine,9,L01BB02,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
abacavir,63,J05AF06,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
abacavir 300mg / lamivudine 150mg / zidovudine 300mg tablet,13,J05AR04,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
abacavir+lamivudine+zidovudine,5,J05AR04,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
abidec drops,2,A11BA80,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abilify 5mg tablet,13,N05AX12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acamprosate calcium,47,N07BB03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acarbose,50,A10BF01,1,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,
accolate 20mg tablet,20,R03DC01,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
accupro 5mg tablet,10,C09AA06,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
accuretic tablet,14,C09BA06,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
acea 0.75% gel,3,D06BX01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
acebutolol,19,C07AB04,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
aceclofenac,60,M01AB16|M02AA25,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
acemetacin,20,M01AB11,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
acenocoumarol,7,B01AA07,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
acetaminophen,8,N02BE01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetazolamide,29,S01EC01,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
acetazolamide [ep] 250mg tablets,5,S01EC01,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
acetoxyl 5 gel,1,D10AE01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetylcholine chloride,1,S01EB09,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
acetylcysteine,36,R05CB01|S01XA08|V03AB23,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
acetylsalicylic acid,4,N02BA01,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
achromycin 1% eye drops,4,S01AA09,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
achromycin 1% eye/ear ointment,2,S01AA09,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
achromycin 250mg capsule,1,S01AA09,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
achromycin 250mg tablet,1,S01AA09,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
achromycin 3% ointment,1,S01AA09,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
achromycin topical 3% ointment,1,S01AA09,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
aciclovir,467,D06BB03|J05AB01|S01AD03,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,
acidex oral suspension,18,A02BX13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acidol-pepsin tablet,16,A09A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acipimox,11,C10AD06,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acitretin,64,D05BB02,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
acnisal topical solution,1,D02AF,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
acnocin 2000/35 tablet,1,G03HB01,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
acrivastine,117,R06AX18,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
acrosoxacin,2,J01MB01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
actal 360mg/5ml suspension,3,A12A A04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actal pastils,1,A12A A04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actifed compound linctus,2,R06AX07,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
actifed tablet,13,R01BA52,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
actiq 200micrograms lozenge,1,N02AB03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actonel 5mg tablet,417,M05BA07,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
actos 15mg tablet,92,A10BG03,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
acular 0.5% ophthalmic solution,21,S01BC05,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
acupan 30mg tablet,40,N02BG06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
