original,head
Managers and Senior Officials,Managers and Senior Officials
Corporate Managers,Managers and Senior Officials
Corporate Managers And Senior Officials,Managers and Senior Officials
Senior officials in national government,Managers and Senior Officials
Directors and chief executives of major organisations,Managers and Senior Officials
Senior officials in local government,Managers and Senior Officials
Senior officials of special interest organisations,Managers and Senior Officials
Production Managers,Managers and Senior Officials
"Production, works and maintenance managers",Managers and Senior Officials
Managers in construction,Managers and Senior Officials
Managers in mining and energy,Managers and Senior Officials
Functional Managers,Managers and Senior Officials
Financial managers and chartered secretaries,Managers and Senior Officials
Marketing and sales managers,Managers and Senior Officials
Purchasing managers,Managers and Senior Officials
Advertising and public relations managers,Managers and Senior Officials
"Personnel, training and industrial relations managers",Managers and Senior Officials
Information and communication technology managers,Managers and Senior Officials
Research and development managers,Managers and Senior Officials
Quality And Customer Care Managers,Managers and Senior Officials
Quality assurance managers,Managers and Senior Officials
Customer care managers,Managers and Senior Officials
Financial Institution And Office Managers,Managers and Senior Officials
Financial institution managers,Managers and Senior Officials
Office managers,Managers and Senior Officials
"Managers In Distribution, Storage And Retailing",Managers and Senior Officials
Transport and distribution managers,Managers and Senior Officials
Storage and warehouse managers,Managers and Senior Officials
Retail and wholesale managers,Managers and Senior Officials
Protective Service Officers,Managers and Senior Officials
Officers in armed forces,Managers and Senior Officials
Police officers (inspectors and above),Managers and Senior Officials
"Senior officers in fire, ambulance, prison and related services",Managers and Senior Officials
Security managers,Managers and Senior Officials
Health And Social Services Managers,Managers and Senior Officials
Hospital and health service managers,Managers and Senior Officials
Pharmacy managers,Managers and Senior Officials
Healthcare practice managers,Managers and Senior Officials
Social services managers,Managers and Senior Officials
Residential and day care managers,Managers and Senior Officials
Managers And Proprietors In Agriculture And Services,Managers and Senior Officials
"Managers In Farming, Horticulture, Forestry And Fishing",Managers and Senior Officials
Farm managers,Managers and Senior Officials
Natural environment and conservation managers,Managers and Senior Officials
"Managers in animal husbandry, forestry and fishing n.e.c.",Managers and Senior Officials
Managers And Proprietors In Hospitality And Leisure Services,Managers and Senior Officials
Hotel and accommodation managers,Managers and Senior Officials
Conference and exhibition managers,Managers and Senior Officials
Restaurant and catering managers,Managers and Senior Officials
Publicans and managers of licensed premises,Managers and Senior Officials
Leisure and sports managers,Managers and Senior Officials
Travel agency managers,Managers and Senior Officials
Managers And Proprietors In Other Service Industries,Managers and Senior Officials
"Property, housing and land managers",Managers and Senior Officials
Garage managers and proprietors,Managers and Senior Officials
Hairdressing and beauty salon managers and proprietors,Managers and Senior Officials
Shopkeepers and wholesale/retail dealers,Managers and Senior Officials
